Sample ID	Sample Name	Input Type	Files	Genus	Species	Strain	Gram	Metadata
E003	Escherichia coli strain E003	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E003.fna					
E005	Escherichia coli strain E005	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E005.fna					
E009	Escherichia coli strain E009	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E009.fna					
E011	Escherichia coli strain E011	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E011.fna					
E013	Escherichia coli strain E013	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E013.fna					
E019	Escherichia coli strain E019	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E019.fna					
E020	Escherichia coli strain E020	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E020.fna					
E021	Escherichia coli strain E021	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E021.fna					
E035	Escherichia coli strain E035	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E035.fna					
E040	Escherichia coli strain E040	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E040.fna					
E053	Escherichia coli strain E053	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E053.fna					
E056	Escherichia coli strain E056	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E056.fna					
E057	Escherichia coli strain E057	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E057.fna					
E058	Escherichia coli strain E058	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E058.fna					
E060	Escherichia coli strain E060	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E060.fna					
E062	Escherichia coli strain E062	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E062.fna					
E063	Escherichia coli strain E063	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/E063.fna					
K011	Escherichia coli strain K011	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/K011.fna					
K075	Escherichia coli strain K075	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/K075.fna					
K091	Escherichia coli strain K091	asm	/media/ktht/ExtraUbuntu/Ecoli/SouthAfrica20/K091.fna					
